premise,hypo,promptID,pairID,genre
Tadašnji ravnatelj jedinice za Al Qaidu u CIA-i prisjetio se da nije mislio kako je njegov posao određivati što bi trebalo ili ne bi trebalo učiniti.,Ravnatelj je mislio da sve ovisi o njemu.,1532,4596,nineeleven
"Oko 10:15, šef Vatrogasne službe Grada New Yorka i šef Sigurnosti, koji su se vratili u Zapadnu ulicu iz garaže parkinga, potvrdili su da se Južni toranj srušio.",Šef Vatrogasne službe Grada New Yorka vidio je kao se Južni toranj ruši.,1663,4987,nineeleven
"Oko 10:15, šef Vatrogasne službe Grada New Yorka i šef Sigurnosti, koji su se vratili u Zapadnu ulicu iz garaže parkinga, potvrdili su da se Južni toranj srušio.",Južni toranj srušio se prije 10:15.,1663,4988,nineeleven
"Oko 10:15, šef Vatrogasne službe Grada New Yorka i šef Sigurnosti, koji su se vratili u Zapadnu ulicu iz garaže parkinga, potvrdili su da se Južni toranj srušio.",Južni toranj nije se srušio.,1663,4989,nineeleven
McCoy poziva na potporu Zaklade tvrtke __  u iznosu od 10.000 USD.,McCoy traži 250.000 USD.,1942,5824,letters
McCoy poziva na potporu Zaklade tvrtke __  u iznosu od 10.000 USD.,McCoy potražuje potporu u vrijednosti 10.000 USD.,1942,5825,letters
McCoy poziva na potporu Zaklade tvrtke __  u iznosu od 10.000 USD.,"McCoy treba više novca, ali sad se potražuje 10,000 USD.",1942,5826,letters
"Posljednja rečenica: Pretpostavljamo, naravno, da niste drugdje predali ovaj esej.",Pretpostavljamo da niste ovaj esej predali nikom drugom.,2279,6835,verbatim
"Posljednja rečenica: Pretpostavljamo, naravno, da niste drugdje predali ovaj esej.",Razumijemo da ste ovaj esej prethodno objavili u peterim novinama.,2279,6836,verbatim
"Posljednja rečenica: Pretpostavljamo, naravno, da niste drugdje predali ovaj esej.",Željeli bismo da potpišete obrazac kojim prihvaćate da mi budemo jedini kojima predajete ovaj esej.,2279,6837,verbatim
Oni su već imali obuku u tlačnim odijelima i trebalo mi je neko vrijeme ako ideš na tlačna odijela.,Potrebno je do tri mjeseca da se završi obuka o uporabi tlačnog odijela.,32,94,facetoface
Oni su već imali obuku u tlačnim odijelima i trebalo mi je neko vrijeme ako ideš na tlačna odijela.,Obuka za uporabu tlačnog odijela traži vrijeme.,32,95,facetoface
Oni su već imali obuku u tlačnim odijelima i trebalo mi je neko vrijeme ako ideš na tlačna odijela.,Mogli bismo vas obučiti za uporabu tlačnog odijela do kraja dana.,32,96,facetoface
Pokrivam iste stvari.,Pokrivam potpuno nov materijal.,85,253,facetoface
Pokrivam iste stvari.,Pokrivam iste stvari kao drugi časopisi.,85,254,facetoface
Pokrivam iste stvari.,Govorim o istim stvarima o kojima su i oni.,85,255,facetoface
"dakle to vam nije prvo iskustvo sa, sa psom",Izgleda da vam ovo nije prvi put sa psom.,303,907,telephone
"dakle to vam nije prvo iskustvo sa, sa psom","Žao mi je, nisam znao da vam je ovo prvi put da vidite psa.",303,908,telephone
"dakle to vam nije prvo iskustvo sa, sa psom",Ovo vam nije prvi put da se bavite domaćom životinjom.,303,909,telephone
"oni to rade iz ljubav, pa je ideja o časniku dobra ideja",Ne mogu podnijeti ideju o časniku.,314,940,telephone
"oni to rade iz ljubav, pa je ideja o časniku dobra ideja",Mislim da je ideja onog s časnikom sjajna.,314,941,telephone
"oni to rade iz ljubav, pa je ideja o časniku dobra ideja",Drugi misle da je ono s časnikom sjajna ideja.,314,942,telephone
"oh, shvaćam, oh, država to ne traži, dobro, nekako je to, prilično je, prilično je neuobičajeno, zar ne","Čak i ako se ne traži, treba se napraviti.",397,1189,telephone
"oh, shvaćam, oh, država to ne traži, dobro, nekako je to, prilično je, prilično je neuobičajeno, zar ne",Čudno je da država to ne traži.,397,1190,telephone
"oh, shvaćam, oh, država to ne traži, dobro, nekako je to, prilično je, prilično je neuobičajeno, zar ne",Ima smisla što to država traži.,397,1191,telephone
Kako? upitala ga je s naglim iznenadnim zanimanjem.,Upitala je kako jer je iz njezine perspektive izgledalo nemoguće.,897,2689,fiction
Kako? upitala ga je s naglim iznenadnim zanimanjem.,Nikad se nije zanimala za razgovor i nije postavljala pitanja.,897,2690,fiction
Kako? upitala ga je s naglim iznenadnim zanimanjem.,Iznenada je bila zainteresirana za razgovor.,897,2691,fiction
"Ti neboderi su banke, a ulica na kojoj su nazvana je nadimkom Milla d Oro, ili Zlatna milja.",Nijedan od nebodera na Zlatnoj milji nije banka.,1010,3028,travel
"Ti neboderi su banke, a ulica na kojoj su nazvana je nadimkom Milla d Oro, ili Zlatna milja.",Neboderi na Zlatnoj milji su banke.,1010,3029,travel
"Ti neboderi su banke, a ulica na kojoj su nazvana je nadimkom Milla d Oro, ili Zlatna milja.","Neboderi na Zlatnoj milji su razne tvrtke, uključujući i banke.",1010,3030,travel
"toranj Pei, zavojit put vodi do parka Hong Kong.",Park Hong Kong bio je put koji ide prema njemu.,1169,3505,travel
"toranj Pei, zavojit put vodi do parka Hong Kong.",Put je 8 kilometara do parka Hong Kong.,1169,3506,travel
"toranj Pei, zavojit put vodi do parka Hong Kong.",Nema puteva koji vode do parka Hong Kong.,1169,3507,travel
"Za informacije, nazovite (213) 623-2489 radnim danom između 9 i 17 sati.",Na telefonskoj liniji radi petero ljudi.,1171,3511,travel
"Za informacije, nazovite (213) 623-2489 radnim danom između 9 i 17 sati.",Telefonska linija radi radnim danom.,1171,3512,travel
"Za informacije, nazovite (213) 623-2489 radnim danom između 9 i 17 sati.",Telefonska linija otvorena je 24/7.,1171,3513,travel
Sloboda od grešaka u podacima.,Pogreška u podacima uzrokuje slobodu.,1472,4414,government
Sloboda od grešaka u podacima.,Sloboda od točnih podataka.,1472,4415,government
Sloboda od grešaka u podacima.,Sloboda od netočnog unosa.,1472,4416,government
"Za pomagala u evakuaciji 11. rujna, vidi npr. Intervju civila 14 (trav.",Intervju civila 14 zaveden je na samom kraju travnja.,1640,4918,nineeleven
"Za pomagala u evakuaciji 11. rujna, vidi npr. Intervju civila 14 (trav.",Tu su i pomagala u evakuaciji 11. rujna u odjeljku zvanom Intervju civila 14),1640,4919,nineeleven
"Za pomagala u evakuaciji 11. rujna, vidi npr. Intervju civila 14 (trav.",Nema dostupnih pomagala s obzirom na evakuaciju 11. rujna.,1640,4920,nineeleven
"Rekao je kako bi se, da su mi njegovi savjetnici rekli za postojanje ćelije u SAD-u, oni već bili pobrinuli oko toga.",Nije vjerovao da se legalno šta može učiniti u vezi s ćelijama u SAD-u.,1729,5185,nineeleven
"Rekao je kako bi se, da su mi njegovi savjetnici rekli za postojanje ćelije u SAD-u, oni već bili pobrinuli oko toga.",On bi se bio pobrinuo za ćeliju u SAD-u da je znao za nju.,1729,5186,nineeleven
"Rekao je kako bi se, da su mi njegovi savjetnici rekli za postojanje ćelije u SAD-u, oni već bili pobrinuli oko toga.",Zapravo su bile tri različite ćeliju u to vrijeme u SAD-u.,1729,5187,nineeleven
"Nadamo se da ćete uživati u razgovoru s njima, ali možete uštedjeti administrativni novac IRT-a šaljući danas svoj dar u povratnoj omotnici.",Svoj poklon možete poslati poštom.,1862,5584,letters
"Nadamo se da ćete uživati u razgovoru s njima, ali možete uštedjeti administrativni novac IRT-a šaljući danas svoj dar u povratnoj omotnici.",Slanje vašeg dara poštom uštedjelo bi IRT-U 500 USD.,1862,5585,letters
"Nadamo se da ćete uživati u razgovoru s njima, ali možete uštedjeti administrativni novac IRT-a šaljući danas svoj dar u povratnoj omotnici.",Možete donirati samo bankovnom doznakom.,1862,5586,letters
"K tome, stanovnici Indiane mogu dobiti porezne olakšice putem poreznog odbitka države Indiane, koji se primjenjuje izravno na najnižu liniju povrata državnog poreza.",Indiana ne nudi porezne odbitke.,1975,5923,letters
"K tome, stanovnici Indiane mogu dobiti porezne olakšice putem poreznog odbitka države Indiane, koji se primjenjuje izravno na najnižu liniju povrata državnog poreza.",Stanovnici Indiane dobivaju porezni odbitak od 50% ako daju donaciju kazalištu.,1975,5924,letters
"K tome, stanovnici Indiane mogu dobiti porezne olakšice putem poreznog odbitka države Indiane, koji se primjenjuje izravno na najnižu liniju povrata državnog poreza.",Stanovnici Indiane dobivaju porezne olakšice od države Indiane.,1975,5925,letters
"evo, kliknite Glumica. Trebali biste se pronaći…",Popis glumica dostupan je svakome tko posjeduje računalo.,2223,6667,slate
"evo, kliknite Glumica. Trebali biste se pronaći…",Vi ste muškarac.,2223,6668,slate
"evo, kliknite Glumica. Trebali biste se pronaći…",Navedeni ste pod Glumica.,2223,6669,slate
"Cjelokupan rad Dowd kao kolumnistice, a posebno komadi Muholovka kojima je osvojila Pulitzera, jedan je od najblistavijih primjera boomerskog samokažnjavanja do sada.",Dowd nikad nije i neće napisati nešto što bi se moglo protumačiti kao boomersko samokažnjavanje.,2239,6715,slate
"Cjelokupan rad Dowd kao kolumnistice, a posebno komadi Muholovka kojima je osvojila Pulitzera, jedan je od najblistavijih primjera boomerskog samokažnjavanja do sada.","Blistave primjere boomerskog samokažnjavanja potražite već u Pulitzerom nagrađenim komadima Muholovka, autorice Dowd, te zapravo u većem dijelu njezina kolumnističkog rada.",2239,6716,slate
"Cjelokupan rad Dowd kao kolumnistice, a posebno komadi Muholovka kojima je osvojila Pulitzera, jedan je od najblistavijih primjera boomerskog samokažnjavanja do sada.","Uz jedan od najblistavijih primjera boomerskog samokažnjavanja, opus autorice Dowd obuhvaća mnoge kolumne o progonu radikalnih boraca za zaštitu okoliša.",2239,6717,slate
"Kad sam se zaposlio na svojem prvom uredskom poslu u Švicarskoj, imao sam tajnicu koja nije znala francuski ni engleski, pa sam morao rukom pisati pisma na tim jezicima da bi ih ona tipkala.","Budući da moja tajnica nije govorila engleski, morao sam pisati pisma da ih ona tipka.",2451,7351,verbatim
"Kad sam se zaposlio na svojem prvom uredskom poslu u Švicarskoj, imao sam tajnicu koja nije znala francuski ni engleski, pa sam morao rukom pisati pisma na tim jezicima da bi ih ona tipkala.","Moja tajnica ne govori engleski ni francuski, ali ja govorim.",2451,7352,verbatim
"Kad sam se zaposlio na svojem prvom uredskom poslu u Švicarskoj, imao sam tajnicu koja nije znala francuski ni engleski, pa sam morao rukom pisati pisma na tim jezicima da bi ih ona tipkala.","Kad sad se prvi put zaposlio, nisam znao ni čitati ni pisati na francuskom.",2451,7353,verbatim
