promptID,pairID,source,target,MTQE_annotator0,MTQE_annotator1,MTQE_annotator2,MTQE_annotator3,MTQE_annotator4,MTQE_annotator5,MTQE_annotator6,MTQE_scores,MTQE_z_scores,MTQE_mean,MTQE_z_mean
6583,19745,"Nor does Soccer Guy seem like an appellation that 's likely to go down in the annals of crime alongside Sammy the Bull--or even Paulie Walnuts , that hit man on the Sopranos .","Auch der Fußball-Typ scheint nicht wie eine Bezeichnung zu sein , die wahrscheinlich in den Annalen des Verbrechens neben Sammy dem Stier -- oder sogar paulie Walnüsse , die den Mann in den Sopranos getroffen haben , in die Annalen eingehen wird .",29,55,50,,,,,"[29.0, 55.0, 50.0]","[-1.1050749741547434, -0.33275933815636943, -0.4764762995241231]",44.66666666666666,-0.638103537278412
45562,136682,The man was silent but pointed .,"Der Mann war still , aber spitze .",25,50,29,,,,,"[25.0, 50.0, 29.0]","[-1.2140728509762402, -0.49286294581436096, -1.102262114590672]",34.666666666666664,-0.9363993037937576
109839,329505,he doesn 't really have anything else to spend his money on,"Er hat nicht wirklich etwas anderes , um sein Geld zu geben .",90,90,90,,,,,"[90.0, 90.0, 90.0]","[0.55714264737308, 0.7879659154495712, 0.7154966815550173]",90.0,0.6868684147925562
62763,188284,"Nearby , Fustic Street Craft Market is a constant buzz of activity .","In der Nähe ist der "" Perückenbaum Street Craft Market "" eine ständige Aktivität der Aktivität .",55,48,30,,,,,"[55.0, 48.0, 30.0]","[-0.3965887748150155, -0.5569043888775576, -1.0724627900636934]",44.33333333333334,-0.6753186512520889
64262,192781,"The Equal Justice Project brought together a very diverse group of individuals including representatives of the low-income client community , social service agencies , government agencies , civil legal services organizations , religious communities , the judiciary , lawyers and cultural organizations to address the need for comprehensive costeffective legal services in the State of Illinois .","Das Projekt Equal Justice brachte eine sehr unterschiedliche Gruppe von Personen zusammen , darunter Vertreter der Low-Income-Client-Gemeinschaft , der sozialen Dienste , der staatlichen Stellen , der Organisationen der Zivilgesellschaft , der religiösen Gemeinschaften , der Justiz , der Anwälte und der kulturellen Organisationen , um die Notwendigkeit einer umfassenden und umfassenden Zusammenarbeit zu kostenwirksame juristische Dienstleistungen im Staat illinois .",70,60,85,,,,,"[70.0, 60.0, 85.0]","[0.012153263265596818, -0.17265573049837793, 0.5665000589201248]",71.66666666666667,0.1353325305624479
25165,75491,"Even with feedback , only 12 % accepted follow-up .",Selbst mit Feedback haben nur 12 % die Follow-Up-Maßnahmen akzeptiert .,69,85,91,,,,,"[69.0, 85.0, 91.0]","[-0.015096205939777337, 0.6278623077915797, 0.7452960060819959]",81.66666666666667,0.4526873693112661
79213,237633,Ries agreed and suggested that this recommendation should promote ED-based research by emphasizing the large number of ED patients affected by alcohol problems and the significant health care impact of those problems .,"Ries stimmte zu und schlug vor , dass diese Empfehlung die ED-basierte Forschung fördern sollte , indem sie die große Zahl von Patienten , die von Alkohol Problemen betroffen sind , und die erheblichen Auswirkungen dieser Probleme auf die Gesundheit hervorhob .",55,78,95,90.0,,,,"[78.0, 95.0, 90.0]","[0.4037172570703916, 0.8644933041899099, 0.03484374017843548]",87.66666666666669,0.43435143381291225
108442,325314,"As Srivijaya declined in the 14th century , the Malay peninsula was carved up among Cambodia , Thailand , and the Javanese Hindu empire of Majapahit .","Jahrhundert wurde die Malaiischen Halbinsel unter Kambodscha , Thailand und dem Javanischen Hindu-Reich von Majapahit aufgeteilt .",29,32,29,,,,,"[29.0, 32.0, 29.0]","[-1.1050749741547434, -1.0692359333831305, -1.102262114590672]",30.0,-1.092191007376182
34239,102713,The present value of estimated loan repayments is likewise included in the value of the loans receivable .,Der derzeitige Wert der geschätzten Darlehens Rückzahlungen wird ebenfalls in den Wert der zu erhaltenden Forderungen einbezogen .,91,69,100,100.0,,,,"[91.0, 100.0, 100.0]","[0.584392116578454, 1.0134899268248025, 0.5119494008427243]",97.0,0.7032771480819937
124258,372756,The Moors,Die Mauren,100,100,100,,,,,"[100.0, 100.0, 100.0]","[0.8296373394268215, 1.1081731307655542, 1.0134899268248025]",100.0,0.983766799005726
41739,125213,six hundred and after thirty thousand miles the head gasket went out,Und nach Meilen ging die Kopf Dichtung raus .,25,30,20,,,,,"[25.0, 30.0, 20.0]","[-1.2140728509762402, -1.133277376446327, -1.3704560353334785]",25.0,-1.239268754252015
66940,200815,Bustling Commerce,Belebten Handel,100,51,69,20.0,28.0,75.0,,"[51.0, 69.0, 75.0]","[-0.46084222428276267, 0.08971086648846861, 0.7546330967499291]",65.0,0.12783391298521166
89307,267913,University degree .,Hochschulabschluß ( Bachelor-Abschluss ) .,29,91,90,100.0,,,,"[91.0, 90.0, 100.0]","[0.8199866369811696, 0.7154966815550173, 0.5119494008427243]",93.66666666666669,0.6824775731263037
115834,347490,Fondness for unicameralism .,Vorliebe für einkammersystem .,75,72,69,,,,,"[75.0, 72.0, 69.0]","[0.1484006092924676, 0.21159292788080172, 0.08971086648846861]",72.0,0.14990146788724598
14502,43502,Tuppence stole a glance at him sideways .,Penny hat einen Blick auf ihn seitwärts .,55,40,50,,,,,"[55.0, 40.0, 50.0]","[-0.3965887748150155, -0.813070161130344, -0.4764762995241231]",48.33333333333334,-0.5620450784898275
12930,38786,Mathew Brady died in 1896 .,Weblinks einzelnachweise,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
123325,369957,""" So ? "" Oliveri 's open astonishment irritated Drew .",""" und ? Weblinks offizielle Website ( Englisch )",0,2,0,,,,,"[0.0, 2.0, 0.0]","[-1.895309581110594, -2.02985757933108, -1.9664425258730487]",0.6666666666666666,-1.9638698954382408
92126,276370,Anse took the third volume .,Einzelnachweise einzelnachweise,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
13175,39521,Turn off on Contri Porti for others .,Für andere stellen sie die Beiträge auf .,0,15,20,,,,,"[0.0, 15.0, 20.0]","[-1.895309581110594, -1.6135881994203016, -1.3704560353334785]",11.666666666666664,-1.6264512719547914
8394,25178,no no no to uh put a surcharge on a credit card of,"Nein , nein , nein , nein , nein , nein , nein , nein . Nein , nein .",0,10,11,,,,,"[0.0, 10.0, 11.0]","[-1.895309581110594, -1.7736918070782932, -1.638649956076285]",7.0,-1.7692171147550573
56832,170492,yeah co-payments type stuff yeah,Yeah Co-ZAHLUNGEN TYP ZEUG YEAH,91,56,69,100.0,31.0,28.0,45.0,"[56.0, 69.0, 45.0]","[-0.30073861662477114, 0.08971086648846861, -0.3219701341372295]",56.66666666666666,-0.17766596142451072
78022,234061,Slate Fouled Up,Schiefer gefoult,0,29,20,,,,,"[0.0, 29.0, 20.0]","[-1.895309581110594, -1.1652980979779255, -1.3704560353334785]",16.333333333333332,-1.477021238140666
102809,308419,What has inspired Saddam 's most recent flexing ?,Was hat die jüngste muskelspiel saddams inspiriert ?,51,65,69,,,,,"[51.0, 65.0, 69.0]","[-0.5055866516365122, -0.012552122840386405, 0.08971086648846861]",61.66666666666666,-0.14280930266281
26012,78032,FGD systems are typically positioned after the particulate control device .,Rea-Systeme werden in der Regel nach dem Partikel-Kontroll Gerät positioniert .,95,91,95,,,,,"[95.0, 91.0, 95.0]","[0.6933899933999507, 0.8199866369811696, 0.8644933041899099]",93.66666666666669,0.7926233115236766
15971,47909,yeah it just got the the name of being an oak because it 's got a kind of an acorn kind of thing on it,"Ja , es hat gerade den Namen einer Eiche bekommen , weil es so eine Art Eichel-Ding drauf hat .",100,80,95,,,,,"[100.0, 80.0, 95.0]","[0.8296373394268215, 0.46775870013358817, 0.8644933041899099]",91.66666666666669,0.7206297812501065
14922,44762,The sanctuary exemplifies piety and militancy .,Das Heiligtum ist ein Musterbeispiel für Frömmigkeit und militanz .,90,71,69,,,,,"[90.0, 71.0, 69.0]","[0.55714264737308, 0.17957220634920343, 0.08971086648846861]",76.66666666666667,0.27547524007025065
111842,335514,""" He never had any patience to lose .",""" er hatte keine Geduld zu verlieren .",65,67,80,,,,,"[65.0, 67.0, 80.0]","[-0.12409408276127395, 0.051489320222810206, 0.41750343628523223]",70.66666666666667,0.11496622458225615
69488,208459,"And as time went on , the case for tobacco 's liability would have grown weaker , since public awareness of smoking 's hazards has grown stronger .","Und mit der Zeit wäre der Fall für die Haftung des Tabaks schwächer geworden , da das öffentliche Bewusstsein für die gefahren des Rauchens stärker geworden ist .",90,100,69,100.0,,,,"[90.0, 100.0, 100.0]","[0.55714264737308, 1.1081731307655542, 0.5119494008427243]",96.66666666666669,0.7257550596604528
96567,289693,"( Kerensky lived until 1970 , and one could see him , as I did , walking across the Stanford campus , where he was affiliated with the Hoover Institution .","( Kerensky lebte bis 1970 , und man konnte ihn so sehen , wie ich es tat , er ging über den Stanford Campus , wo er mit der Hoover Institution verbunden war .",90,69,80,,,,,"[90.0, 69.0, 80.0]","[0.55714264737308, 0.11553076328600681, 0.41750343628523223]",79.66666666666667,0.36339228231477305
97358,292066,"Hells , please , said Adrin .","Zur Hölle , bitte , sagte adrin .",91,91,69,,,,,"[91.0, 91.0, 69.0]","[0.584392116578454, 0.8199866369811696, 0.08971086648846861]",83.66666666666667,0.4980298733493641
105700,317090,"Here the architecturally distinctive Minangkabau buffalo-horn roofs of Sumatran heritage are evident , together with the more recent colonial Victorian style and the traditions of Chinese commercial shophouses .","Hier sind die architektonisch markanten Minangkabau-Dächer des Sumatra-Erbes zu sehen , zusammen mit dem neueren kolonialen viktorianischen Stil und den Traditionen der chinesischen kommerziellen Shophouses .",69,80,80,,,,,"[69.0, 80.0, 80.0]","[-0.015096205939777337, 0.46775870013358817, 0.41750343628523223]",76.33333333333333,0.29005531015968106
107067,321191,"We will have some drinks . "" Tuppence beat a hasty retreat .","Wir werden ein paar Drinks trinken . "" zwei Pence schlagen einen voreiligen Rückzug .",30,43,50,,,,,"[30.0, 43.0, 50.0]","[-1.0778255049493695, -0.7170079965355491, -0.4764762995241231]",41.0,-0.7571032670030139
67125,201370,yeah they 're t aking those up you can take them to the stores um like Kroger 's doing it and i think Skaggs do you have those up there,"Ja , sie sind nicht in der Lage , sie in die Läden zu bringen , so wie kroger es tut und ich denke , Skaggs haben sie die da oben .",11,33,60,90.0,13.0,,,"[11.0, 33.0, 13.0]","[-1.5955654198514784, -1.037215211851532, -1.2757719703813786]",19.0,-1.302850867361463
82541,247617,"In 1986 , Kitty Kelley 's dishy biography , His Way , confirmed most of the nasty gossip about his love life .","Im Jahr 1986 bestätigte Kitty Kelley seine blonden Biographie , seine Art und Weise , den Großteil der fiesen Gerüchte über sein liebes Leben .",69,50,50,,,,,"[69.0, 50.0, 50.0]","[-0.015096205939777337, -0.49286294581436096, -0.4764762995241231]",56.33333333333334,-0.3281451504260871
16983,50945,In an ugly tux .,In einem hässlichen Smoking .,100,100,100,,,,,"[100.0, 100.0, 100.0]","[0.8296373394268215, 1.1081731307655542, 1.0134899268248025]",100.0,0.983766799005726
106594,319772,An overgrown drive thick with leaves .,Ein Überwuchert Antrieb mit Blättern .,0,30,69,80.0,10.0,,,"[0.0, 30.0, 10.0]","[-1.895309581110594, -1.133277376446327, -1.3972031995696679]",13.333333333333336,-1.475263385708863
60467,181397,yeah T E R R Y Terry,"Ja , nein , nein .",0,2,11,,,,,"[0.0, 2.0, 11.0]","[-1.895309581110594, -2.02985757933108, -1.638649956076285]",4.333333333333333,-1.8546057055059864
107597,322781,""" Yeah , "" he decided .",""" ja hat er entschieden .",70,51,69,,,,,"[70.0, 51.0, 69.0]","[0.012153263265596818, -0.46084222428276267, 0.08971086648846861]",63.33333333333334,-0.11965936484289907
41048,123140,Yessiree .,Ja .,0,60,100,100.0,85.0,,,"[100.0, 100.0, 85.0]","[1.0134899268248025, 0.5119494008427243, 1.638577530137567]",95.0,1.0546722859350313
118518,355542,oh i don 't either uh-huh,"Oh , ich weiß nicht , was ich tue .",0,60,11,40.0,1.0,,,"[0.0, 11.0, 1.0]","[-1.895309581110594, -1.638649956076285, -1.7614968871345362]",4.0,-1.7651521414404716
66527,199576,A Democrat .,Ein Demokrat .,100,100,100,,,,,"[100.0, 100.0, 100.0]","[0.8296373394268215, 1.1081731307655542, 1.0134899268248025]",100.0,0.983766799005726
96972,290908,uh-huh that 's it just hang up all righty bye,"Uh-Huh , das ist alles , was du sagst .",11,30,11,,,,,"[11.0, 30.0, 11.0]","[-1.5955654198514784, -1.133277376446327, -1.638649956076285]",17.333333333333332,-1.4558309174580302
79308,237918,Man 's a crackpot .,Der Mann ist ein verrückter .,80,75,69,,,,,"[80.0, 75.0, 69.0]","[0.28464795531933834, 0.30765509247559664, 0.08971086648846861]",74.66666666666667,0.2273379714278012
60054,180158,you 're kidding me,Du verarschst mich .,100,88,95,,,,,"[100.0, 88.0, 95.0]","[0.8296373394268215, 0.7239244723863746, 0.8644933041899099]",94.33333333333331,0.8060183720010352
16391,49169,"We 'll have a look around this evening , anyway .",Wir sehen uns heute Abend sowieso um .,25,100,100,95.0,,,,"[100.0, 100.0, 95.0]","[1.1081731307655542, 1.0134899268248025, 0.2733965705105799]",98.33333333333331,0.798353209366979
24949,74843,Guilt I could relate to .,"Schuldgefühle , die ich nachempfinden könnte .",100,95,100,,,,,"[100.0, 95.0, 100.0]","[0.8296373394268215, 0.9480695231075628, 1.0134899268248025]",98.33333333333331,0.9303989297863956
117829,353475,well i i thought so too they they just had a letdown in the second half and they couldn 't recover,"Nun , ich dachte auch , dass sie gerade eine Enttäuschung in der zweiten Hälfte hatten und sie konnten sich nicht erholen .",100,70,100,,,,,"[100.0, 70.0, 100.0]","[0.8296373394268215, 0.14755148481760513, 1.0134899268248025]",90.0,0.6635595836897431
123425,370257,"I can be justly reproached for any careless errors that made it into print , but not for the collaborative nature of the enterprise .","Ich kann zu recht vorgeworfen werden , dass es sich um unvorsichtig Fehler handelt , die es zum Ausdruck gebracht haben , aber nicht für die kooperative Natur des Unternehmens .",51,55,69,,,,,"[51.0, 55.0, 69.0]","[-0.5055866516365122, -0.33275933815636943, 0.08971086648846861]",58.33333333333334,-0.249545041101471
36035,108101,we got up the next morning and she said i don 't know about you but she said i 'm going into town and we 're going to buy some long johns,"Wir sind am nächsten morgen aufgestanden und sie sagte , ich weiß nicht von Dir , aber sie sagte , ich gehe in die Stadt und wir werden ein paar lange Unterhosen kaufen .",70,60,69,,,,,"[70.0, 60.0, 69.0]","[0.012153263265596818, -0.17265573049837793, 0.08971086648846861]",66.33333333333333,-0.02359720024810416
538,1612,News accounts agree that Arafat has finally shed his image as a terrorist and is now being honored by the White House not only as a virtual head of state but as the indispensable player in the peace process .,"Die Nachrichten sind sich darin einig , dass Arafat endlich sein Image als Terrorist vergossen hat und jetzt vom weißen Haus nicht nur als virtueller Regierungschef , sondern als unverzichtbarer Akteur im Friedensprozess geehrt wird .",69,90,69,,,,,"[69.0, 90.0, 69.0]","[-0.015096205939777337, 0.7879659154495712, 0.08971086648846861]",76.0,0.28752685866608746
114683,344037,Great Jehosaphat !,Tolle Jehosaphat !,100,49,30,100.0,0.0,47.0,,"[49.0, 30.0, 47.0]","[-0.5248836673459593, -1.0724627900636934, -0.7129406604654026]",42.0,-0.7700957059583518
97871,293605,"Between 1950 and 1955 , it also cranked out Where Will the Baby 's Dimple Be ?","Zwischen 1950 und 1955 hat es auch gekröpft , wo das Grübchen des Babys sein wird ?",29,39,29,,,,,"[29.0, 39.0, 29.0]","[-1.1050749741547434, -0.8450908826619423, -1.102262114590672]",32.333333333333336,-1.0174759904691193
130876,392604,Sather Karf seemed amused as he looked at Ser Perth .,"Sather Karf schien amüsiert zu sein , als er ser Perth sah .",75,85,69,,,,,"[75.0, 85.0, 69.0]","[0.1484006092924676, 0.6278623077915797, 0.08971086648846861]",76.33333333333333,0.2886579278575053
74958,224869,The church may then be marked out to designate where worshippers of the various denominations take their place .,"Die Kirche kann dann gekennzeichnet werden , um zu bestimmen , wo die Anhänger der verschiedenen Konfessionen ihren Platz einnehmen .",100,100,100,,,,,"[100.0, 100.0, 100.0]","[0.8296373394268215, 1.1081731307655542, 1.0134899268248025]",100.0,0.983766799005726
123820,371442,Great Scot !,Großer Schotte !,0,90,100,70.0,,,,"[90.0, 100.0, 70.0]","[0.7879659154495712, 1.0134899268248025, -0.9193675811501422]",86.66666666666669,0.29402942037474383
27458,82370,"I had a touch of toothache , ma 'am , said Tuppence glibly .","Ich hatte einen Hauch von Zahnschmerzen , ma ' am , sagte Penny leichtfertig .",20,55,50,100.0,40.0,,,"[55.0, 50.0, 40.0]","[-0.33275933815636943, -0.4764762995241231, -0.182890907686774]",48.33333333333334,-0.3307088484557555
95216,285640,uh but uh uh i we i do mainly um graphics on it,"Uh , aber äh ich mache vor allem Grafik drauf .",50,80,95,100.0,,,,"[80.0, 95.0, 100.0]","[0.46775870013358817, 0.8644933041899099, 0.5119494008427243]",91.66666666666669,0.6147338017220741
79725,239169,yeah so did they get stuck,Ja so sind die stecken geblieben,50,70,95,100.0,77.0,,,"[50.0, 70.0, 77.0]","[-0.5328361208418863, 0.14755148481760513, 1.3147609189687952]",65.66666666666667,0.3098254276481714
113390,340158,""" Sí , of the Messenger line .",""" Si , der Messenger-Linie .",58,85,30,100.0,2.0,60.0,71.0,"[85.0, 100.0, 71.0]","[0.6278623077915797, 0.5119494008427243, 0.9146878810716753]",85.33333333333333,0.6848331965686598
91470,274402,no they 'll they 'll ask for a handout first,"Nein , sie werden erst nach einem Almosen Fragen .",85,82,50,100.0,,,,"[85.0, 82.0, 100.0]","[0.4208953013462091, 0.5318001431967848, 0.5119494008427243]",89.0,0.4882149484619061
63428,190279,i think it 's thirty six yeah,"Ich glaube , es ist Uhr .",0,20,11,,,,,"[0.0, 20.0, 11.0]","[-1.895309581110594, -1.45348459176231, -1.638649956076285]",10.333333333333334,-1.6624813763163964
32317,96947,But that thar sure looks a lotta hoss .,Aber das sieht ja ganz schön aus .,50,45,50,,,,,"[50.0, 45.0, 50.0]","[-0.5328361208418863, -0.6529665534723526, -0.4764762995241231]",48.33333333333334,-0.554092991279454
48843,146525,Who 's Annie ? inquired Tuppence idly .,Wer ist Annie ? Er hat sich erkundigt .,29,73,50,50.0,,,,"[29.0, 50.0, 50.0]","[-1.1050749741547434, -0.4764762995241231, -1.87357890247872]",43.0,-1.1517100587191955
126195,378567,""" I don 't mean that . "" Drew waved Anse 's retort aside .",""" das meine ich nicht so . Weblinks offizielle Website ( Englisch ) Einzelnachweise",29,24,11,,,,,"[29.0, 24.0, 11.0]","[-1.1050749741547434, -1.3254017056359169, -1.638649956076285]",21.33333333333333,-1.356375545288982
52768,158300,I thought not .,Das dachte ich mir .,10,40,40,,,,,"[10.0, 40.0, 40.0]","[-1.6228148890568526, -0.813070161130344, -0.7744695447939082]",30.0,-1.070118198327035
119124,357360,Very well . Her mouth opened meekly .,Sehr gut . Ihr Mund öffnete sich demütig .,100,90,100,,,,,"[100.0, 90.0, 100.0]","[0.8296373394268215, 0.7879659154495712, 1.0134899268248025]",96.66666666666669,0.8770310605670651
7572,22712,uh-huh no because they 've taken them from the people because the Marxist Leninist theology is to i mean it really is its own religion it it could be classified in theological terms as a religion because it is,Uh-huh nein weil sie sie von den Menschen genommen haben weil die marxistisch leninistischen Theologie ist ich meine es ist wirklich seine eigene Religion es könnte in theologische Begriffe als Religion eingestuft werden weil es so ist .,100,66,70,90.0,,,,"[66.0, 70.0, 90.0]","[0.0194685986912119, 0.11951019101544712, 0.03484374017843548]",75.33333333333333,0.0579408432950315
123693,371061,But the DPs tend to view Clinton 's failures as moral rather than criminal .,"Aber die EP neigen dazu , clintons versagen als moralisch und nicht als kriminell zu betrachten .",85,60,69,,,,,"[85.0, 60.0, 69.0]","[0.4208953013462091, -0.17265573049837793, 0.08971086648846861]",71.33333333333333,0.1126501457787666
39340,118016,Said is quiet on how Palestinians and Israelis can be persuaded even to consider such a reconciliation .,"Es ist ruhig , wie Palästinenser und Israelis davon überzeugt werden können , dass sie eine solche Aussöhnung in Betracht ziehen .",55,50,30,,,,,"[55.0, 50.0, 30.0]","[-0.3965887748150155, -0.49286294581436096, -1.0724627900636934]",45.0,-0.6539715035643566
120732,362182,"As evidence of this , she painstakingly detailed Clinton 's electoral assets state by state , in the Northeast , Midwest , and West .","Als Beweis dafür hat sie die Wahl von Clinton im Nordosten , im mittleren Westen und im Westen sorgfältig detailliert beschrieben .",91,77,100,,,,,"[91.0, 77.0, 100.0]","[0.584392116578454, 0.3716965355387933, 1.0134899268248025]",89.33333333333331,0.6565261929806833
6014,18040,"If you missed our previous links to 1 ) President 's Clinton 's vacuous Social Security promise and 2 ) a summary of the very real tax hikes and benefit cuts proposed by Moynihan and Kerrey , click and .","Wenn sie unsere bisherigen Links zu 1 ) von Präsident Clinton ' s GEISTLOS SOCIAL SECURITY VERSPRECHEN UND 2 ) eine Zusammenfassung der sehr realen Steuer-und nutzen , die von Moynihan und kerey vorgeschlagen wurden , klicken , klicken Sie auf und klicken Sie auf .",60,46,30,,,,,"[60.0, 46.0, 30.0]","[-0.26034142878814476, -0.6209458319407543, -1.0724627900636934]",45.33333333333334,-0.6512500169308642
98599,295789,"The letterhead on correspondence still bears the Bexar County Legal Aid name , even though the organization is no longer .","Der Briefkopf auf Korrespondenz trägt nach wie vor den Namen des Bexar County , auch wenn die Organisation nicht mehr ist .",69,70,70,,,,,"[69.0, 70.0, 70.0]","[-0.015096205939777337, 0.14755148481760513, 0.11951019101544712]",69.66666666666667,0.08398848996442497
90460,271372,Further sequencing of questions within questionnaires may also improve efficiency .,Eine weitere Abfolge von Fragen innerhalb von Fragebögen kann auch die Effizienz verbessern .,100,60,95,100.0,,,,"[100.0, 95.0, 100.0]","[0.8296373394268215, 0.8644933041899099, 0.5119494008427243]",98.33333333333331,0.7353600148198186
66107,198316,yeah i think we were all pretty much uh Astros fans in the in the National National League Championship Series but there 's like two fellows,Ja ich glaube wir waren alle ziemlich viel Fans in der National National League Championship Serie aber es gibt wie zwei Fellows .,29,59,40,,,,,"[29.0, 59.0, 40.0]","[-1.1050749741547434, -0.20467645202997622, -0.7744695447939082]",42.66666666666666,-0.6947403236595426
13071,39209,They caught up with me in Salvora .,Sie haben mich in vora erwischt .,29,50,40,,,,,"[29.0, 50.0, 40.0]","[-1.1050749741547434, -0.49286294581436096, -0.7744695447939082]",39.66666666666666,-0.7908024882543375
15195,45581,"But because it is put forward by a fatuous Charleston , S.C. , college professor , we hear it for what Horwitz rightly calls a clever glide around race and slavery , rather like the slick-tongued defense of the Southern ' way of life ' made by antebellum orators , South Carolinians in particular .","Aber weil es von einem albernen Charleston , S.c. , College-Professor vorgelegt wird , hören wir es für das , was horwitz zu recht eine kluge gleiten um Rasse und Sklaverei nennt , wie die slick Verteidigung der südlichen "" Lebensweise "" von Vorkriegs . Redner , insbesondere Süd-Carolina .",55,34,40,,,,,"[55.0, 34.0, 40.0]","[-0.3965887748150155, -1.005194490319934, -0.7744695447939082]",43.0,-0.7254176033096192
69143,207424,Alyse Witherspoon .,Einzelnachweise,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-1.895309581110594, -2.093899022394276, -1.9664425258730487]",0.0,-1.9852170431259728
38966,116894,"He is indeed of the Blood , "" he assented .","Gewiß , er ist von dem Blut , das er ( ihm ) zugestimmt .",50,35,40,,,,,"[50.0, 35.0, 40.0]","[-0.5328361208418863, -0.9731737687883356, -0.7744695447939082]",41.66666666666666,-0.76015981147471
80175,240519,Ah ! breathed Tuppence .,Nein ! Zwei Pence .,0,11,0,,,,,"[0.0, 11.0, 0.0]","[-1.895309581110594, -1.7416710855466948, -1.9664425258730487]",3.6666666666666665,-1.867807730843446
44883,134645,no huh-uh because i 'm like forty three,"Nein , weil ich wie bin .",5,15,0,,,,,"[5.0, 15.0, 0.0]","[-1.7590622350837233, -1.6135881994203016, -1.9664425258730487]",6.666666666666668,-1.7796976534590243
